Institution,Titre_du_poste,Domaine,Date
Action Aid,Head of Finance,"Management/Gestion, Finance, Comptabilité et Commerce",18 Mai 12
FINCA Haiti S.A.,"Chief Financial Officer (CFO), FINCA Haiti","Management/Gestion, Finance, Comptabilité et Commerce",17 Mai 12
FINCA Haiti S.A.,"In-house Legal Counsel, FINCA Haiti",Droit,17 Mai 12
Concern Worldwide Haiti,Consultant pour la réalisation de l’exercice de simulation,Consultant/Expert,16 Mai 12
Chemonics International/Cookstove,Monitoring and Evaluation Specialist,"Management/Gestion, Finance, Comptabilité et Commerce",15 Mai 12
Islamic Relief Haiti,Field Construction Engineer,Sciences de l’Ingénieur,15 Mai 12
Compassion International Haiti,Partnership Auditor,"Management/Gestion, Finance, Comptabilité et Commerce",15 Mai 12
Compassion International Haiti,Evaluation and Research Specialist,- - Non-defini - -,15 Mai 12
FAO,Commis aux Achats (Haïti),"Management/Gestion, Finance, Comptabilité et Commerce",13 Mai 12
Sevis finansye Fonkoze,Direktè Lojistik,"Management/Gestion, Finance, Comptabilité et Commerce",12 Mai 12
CARE Haiti,Grants Officer Projet AKSE,"Management/Gestion, Finance, Comptabilité et Commerce",11 Mai 12
CARE Haiti,Analyste Financier,"Management/Gestion, Finance, Comptabilité et Commerce",11 Mai 12
Deloitte Consulting,Spécialiste de Renforcement des Capacités,Santé et Professions médicales,11 Mai 12
Deloitte Consulting,Chef de Mission,"Management/Gestion, Finance, Comptabilité et Commerce",11 Mai 12
Deloitte Consulting,Directeur des Finances et d’Administration,"Management/Gestion, Finance, Comptabilité et Commerce",11 Mai 12
Deloitte Consulting,"Spécialiste Systèmes d'Information de la Santé (Spécialiste, SIS)",Sciences Informatiques,11 Mai 12
GOAL Haiti,Transport  Manager,Transport et Logistique,10 Mai 12
BSF,Animateur BiblioTapTap,"Arts, Culture, Design et mode",10 Mai 12
DIGICEL,POS System Supervisor,"Management/Gestion, Finance, Comptabilité et Commerce",10 Mai 12
Concern Worldwide Haiti,Consultant,"Management/Gestion, Finance, Comptabilité et Commerce",7 Mai 12
J/P HRO,Education Project Manager,Sciences de l’Education,7 Mai 12
J/P HRO,Dispatcher day and night shift,"Management/Gestion, Finance, Comptabilité et Commerce",6 Mai 12
Plan International-Haiti,Consultant/Accompagnateur de jardins scolaires,Agriculture – Agroalimentaire,5 Mai 12
ROPANIP,Un-e responsable des opérations de réhabilitation Domaine Agriculture – Agroalimentaire,Agriculture – Agroalimentaire,5 Mai 12
CARE Haiti,Office Assistante,"Management/Gestion, Finance, Comptabilité et Commerce",4 Mai 12
CARE Haiti,Financial Analyst,"Management/Gestion, Finance, Comptabilité et Commerce",4 Mai 12
BRAC Haiti,Communication Officer,- - Non-defini - -,4 Mai 12
MARNDR/PTTA,comptable,"Management/Gestion, Finance, Comptabilité et Commerce",4 Mai 12
MARNDR/PTTA,Administrateur Financier,"Management/Gestion, Finance, Comptabilité et Commerce",4 Mai 12
DIGICEL,Commercial Executive,"Management/Gestion, Finance, Comptabilité et Commerce",4 Mai 12
DIGICEL,Local Area Manager,"Management/Gestion, Finance, Comptabilité et Commerce",4 Mai 12
DIGICEL,Regional Coordinator,Secrétariat,4 Mai 12
MARNDR/PTTA,Specialiste en Passation de marchés,"Management/Gestion, Finance, Comptabilité et Commerce",3 Mai 12
MARNDR/PTTA,TDR Spécialiste en Passation des Marchés,"Management/Gestion, Finance, Comptabilité et Commerce",3 Mai 12
MARNDR/PTTA,"Consultant pour la Préparation d'un Manuel de Procédures Administratives, Financières et Comptables","Management/Gestion, Finance, Comptabilité et Commerce",3 Mai 12
MARNDR/PTTA,TDR pour l’embauche d’un Consultant pour rédiger un manuel de procédures,"Management/Gestion, Finance, Comptabilité et Commerce",3 Mai 12
CBM,Assistant Health Program Manager,"Management/Gestion, Finance, Comptabilité et Commerce",2 Mai 12
CBM,Assistant logistics manager,Transport et Logistique,2 Mai 12
CBM,Program Assistant Advocacy and Capacity building,"Management/Gestion, Finance, Comptabilité et Commerce",2 Mai 12
HELP,Consultant to assess HELP’s student support services,Sciences de l’Education,30 Avril 12
HELP,Project Manager for University Financing Model in Haiti,"Management/Gestion, Finance, Comptabilité et Commerce",30 Avril 12
Croix Rouge Allemande (DRK),Employé Technique - Mobilisateur de Réduction de Risque et   de Désastre (Grade SG 3),Sciences de l’Education,30 Avril 12
Croix Rouge Allemande (DRK),Employé Technique - Formateur de Réduction de Risque et   de Désastre (Grade SG 3),Sciences Humaines et Sociales,30 Avril 12
GOAL Haiti,Rural Community Reconstruction Project Manager,Sciences de l’Ingénieur,30 Avril 12
Croix Rouge Canadienne,Officier des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",27 Avril 12
GIP ESTHER,Coordinateur(trice) national (e) pour Haïti,Santé et Professions médicales,27 Avril 12
WFP/PAM,Assistant Logistique (Rapporteur Cluster),Communication et Journalisme,27 Avril 12
Concern Worldwide Haiti,CONSULTANT ASSISTANT WAREHOUSE,Transport et Logistique,27 Avril 12
Concern Worldwide Haiti,Gestionnaire de Transport,"Management/Gestion, Finance, Comptabilité et Commerce",26 Avril 12
MSH,Director for Country Operations (COMU),"Management/Gestion, Finance, Comptabilité et Commerce",26 Avril 12
GOAL Haiti,"Consultant du programme « Eau, Assainissement et Hygiène » de GOAL financé par UNICEF et Irish Aid",Sciences Humaines et Sociales,26 Avril 12
Secteur ong,Conseiller Technique en Sante de la Reproduction,Santé et Professions médicales,25 Avril 12
HRI / an leve kanpe,Geographic Information System Coordinator,Sciences de l’Ingénieur,25 Avril 12
Concern Worldwide Haiti,Ingénieur de Projet de Mitigation de Réduction des Risques de Désastres,Sciences de l’Ingénieur,25 Avril 12
Action Aid,Une Firme de Consultation,"Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,"Coordonnateur du Corridor de Développement (Port-au-Prince, Saint-Marc, Cap-Haïtien)",Sciences Humaines et Sociales,25 Avril 12
HRI / an leve kanpe,Spécialiste en renforcement de capacités (Workforce Development Specialist),Sciences Humaines et Sociales,25 Avril 12
HRI / an leve kanpe,Office Manager,"Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,Grants Manager,"Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,Specialiste en communication et en coordination,Communication et Journalisme,25 Avril 12
HRI / an leve kanpe,"Spécialistes chaîne de valeur (agro-alimentaire, construction, habillement)","Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,Officier de monitoring et d’evaluation (M&E),Sciences économiques et politiques,25 Avril 12
HRI / an leve kanpe,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,Spécialiste en renforcement des capacités,"Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,Chief of party,Sciences économiques et politiques,25 Avril 12
HRI / an leve kanpe,Workforce development/capacity building expert,"Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,Monitoring & Evaluation Officer (Cap Haitian),- - Non-defini - -,25 Avril 12
HRI / an leve kanpe,Grants Manager (Saint Marc),"Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,Grants Manager (Cap Haitian),"Management/Gestion, Finance, Comptabilité et Commerce",25 Avril 12
HRI / an leve kanpe,Structural Engineer for Rehabilitation,Métiers du bâtiment et autres,25 Avril 12
Croix Rouge Allemande (DRK),Employé technique - Constructeur de Réduction de Risque et   de Désastre (Grade SG 3),Sciences de l’Education,25 Avril 12
Croix Rouge Canadienne,Officier de Suivi et d’Evaluation,"Management/Gestion, Finance, Comptabilité et Commerce",24 Avril 12
Croix Rouge Americaine,Senior Urban and Construction Policy Advisor,Métiers du bâtiment et autres,24 Avril 12
Global Communities - (formerly CHF),"Diverses positions (Managers, Spécialistes, HR,, etc.)","Management/Gestion, Finance, Comptabilité et Commerce",23 Avril 12
CARE Haiti,Responsable Developpement des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",23 Avril 12
Habitat for Humanity International,Responsab sit konstriksyon (konsiltan) / Site Manager (Consultant),Métiers du bâtiment et autres,22 Avril 12
Habitat for Humanity International,"jistik ak materyèl chenn manadyè - Ayiti (KONSILTAN) / Logistics & Supply Chain Manager - Haiti, IDB",Transport et Logistique,22 Avril 12
Secteur prive,Contrôleur interne,"Management/Gestion, Finance, Comptabilité et Commerce",21 Avril 12
Secteur prive,Responsable de Marketing et de Formation,Marketing,21 Avril 12
J/P HRO,Administrative Manager,"Management/Gestion, Finance, Comptabilité et Commerce",20 Avril 12
Tearfund,Finance Officer Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",20 Avril 12
MSH,Conseiller en Enregistrement Sanitaire (DPM/MT),Santé et Professions médicales,20 Avril 12
CRS,PROJECT MANAGER WASH,Santé et Professions médicales,20 Avril 12
CRS,INGENIEUR WASH,Sciences de l’Ingénieur,20 Avril 12
SOS Villages d'Enfants Haiti,Ingénieur Superviseur,Métiers du bâtiment et autres,20 Avril 12
CINA,Inspecteur Commercial Reseau,"Management/Gestion, Finance, Comptabilité et Commerce",19 Avril 12
DIGICEL,Project Manager,Sciences de l’Ingénieur,19 Avril 12
BRAC Haiti,External Project Evaluator,Agriculture – Agroalimentaire,18 Avril 12
J/P HRO,Technical Training Officer,Métiers du bâtiment et autres,18 Avril 12
MARNDR/PMDN,Responsable de suivi-évaluation de programme,Agriculture – Agroalimentaire,18 Avril 12
J/P HRO,Casework Officers,Sciences Humaines et Sociales,17 Avril 12
CRS-Cayes,M&E DME Manager,Sciences Informatiques,17 Avril 12
CRS,M&E Project Officer,Sciences économiques et politiques,15 Avril 12
VOILA,National Alternatif Manager,"Management/Gestion, Finance, Comptabilité et Commerce",15 Avril 12
Concern Worldwide Haiti,Consultant pour l’élaboration des plans de contingence multirisques,Consultant/Expert,13 Avril 12
DIGICEL,Digicel Foundation CEO,"Management/Gestion, Finance, Comptabilité et Commerce",13 Avril 12
MSH,Mécanicien,Mécanique,12 Avril 12
Initiative Développement,Consultant en Marketing,Marketing,12 Avril 12
Habitat for Humanity International,Tradiktè (Konsiltan) / Transalator (Consultant),Communication et Journalisme,8 Avril 12
Croix Rouge Espagnole,Secrétaire/Assistant(e) Administratif (ve),- - Non-defini - -,7 Avril 12
VOILA,Facilities Manager,"Management/Gestion, Finance, Comptabilité et Commerce",7 Avril 12
URC,Quality Improvement Advisor,Santé et Professions médicales,6 Avril 12
URC,Finance and Administrative Officer,Santé et Professions médicales,6 Avril 12
CRS,Data Animator,Sciences Informatiques,6 Avril 12
AVSF,Secrétaire Réceptionniste,Secrétariat,6 Avril 12
VOILA,Network Security,Sciences Informatiques,6 Avril 12
VOILA,Manager Produits et Services à la Clientèle,"Management/Gestion, Finance, Comptabilité et Commerce",6 Avril 12
VOILA,Sales Supervisor,"Management/Gestion, Finance, Comptabilité et Commerce",6 Avril 12
AVSF,Assitant en gestion,"Management/Gestion, Finance, Comptabilité et Commerce",5 Avril 12
MSH,Laboratory Program Manager,Biologie/Chimie,5 Avril 12
Croix Rouge Americaine,Officier de Projet / Finance,"Management/Gestion, Finance, Comptabilité et Commerce",5 Avril 12
Croix Rouge Americaine,officier des opérations Financières,"Management/Gestion, Finance, Comptabilité et Commerce",5 Avril 12
Croix Rouge Americaine,Gestionnaire Financier,"Management/Gestion, Finance, Comptabilité et Commerce",5 Avril 12
Habitat for Humanity International,Done Antre Espesyalis (Consiltant) / Data Entry Specialist (Consultant),Secrétariat,5 Avril 12
Habitat for Humanity International,Kòdonatè Angajman Kominotè (Cnsiltan) / Community Engagement Coordinator (Consultant),Communication et Journalisme,5 Avril 12
CINA,Responsable Transport,Mécanique,3 Avril 12
MSH,IS Specialist,Sciences Informatiques,2 Avril 12
Habitat for Humanity International,Kapasite Bati ak Antrenman Espesyali (konsiltan) / Capcaity Building & Training Specialist (Consult),"Management/Gestion, Finance, Comptabilité et Commerce",2 Avril 12
Croix Rouge Allemande (DRK),Livelihood Project Assistant,Agriculture – Agroalimentaire,31 Mars 12
Croix Rouge Espagnole,Ingénieur Résident Pour La Supervision du Projet de Réhabilitation et Reconstruction d’Écoles dans l,- - Non-defini - -,31 Mars 12
Direction de santé publique de l'Agence de santé et des services sociaux de Montréal,Expert santé publique (Développement communautaire),Santé et Professions médicales,31 Mars 12
Secteur ong,Spécialistes techniques au Renforcement des Municipalités,Sciences économiques et politiques,31 Mars 12
J/P HRO,Procurement Officer,"Management/Gestion, Finance, Comptabilité et Commerce",30 Mars 12
GOAL Haiti,"Homologue : Chef de Projet Rurale WASH (Eau, Assainissement, et Promotion d’Hygiène)","Management/Gestion, Finance, Comptabilité et Commerce",30 Mars 12
ZL/PIH,Infirmière responsable de l’Unité de Médecine Familiale,Santé et Professions médicales,30 Mars 12
ZL/PIH,Assistant(e) des programmes de formation médicale,Santé et Professions médicales,30 Mars 12
Secteur prive,Directeur de Succursale,"Management/Gestion, Finance, Comptabilité et Commerce",30 Mars 12
ZL/PIH,Safety and Security Manager – Mirebalais National Teaching Hospital,Sécurité,30 Mars 12
ZL/PIH,Plant Operations and Maintenance Director – Mirebalais National Teaching Hospital,"Management/Gestion, Finance, Comptabilité et Commerce",30 Mars 12
ZL/PIH,Food Services Manager – Mirebalais National Teaching Hospital,"Management/Gestion, Finance, Comptabilité et Commerce",30 Mars 12
ZL/PIH,Environmental Services Manager – Mirebalais National Teaching Hospital,"Management/Gestion, Finance, Comptabilité et Commerce",30 Mars 12
AVSF,Directeur Exécutif,Agriculture – Agroalimentaire,29 Mars 12
Plan International-Haiti,Business Analyst,"Management/Gestion, Finance, Comptabilité et Commerce",27 Mars 12
Clinton Health Access Initiative,Program Manager,- - Non-defini - -,27 Mars 12
IFRC,Support Services Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",26 Mars 12
Concern Worldwide Haiti,Assistant Coordonnateur du Programme Livelihoods,Agriculture – Agroalimentaire,26 Mars 12
Croix Rouge Allemande (DRK),Administration Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",26 Mars 12
Oxfam Intermon,Responsable de la Campagne CULTIVONS en Haïti,Communication et Journalisme,26 Mars 12
Concern Worldwide Haiti,Consultant veterinaire,Consultant/Expert,25 Mars 12
Bureau de la Coopération Suisse,Adjoint(e) à la cheffe Finances et Administration,"Management/Gestion, Finance, Comptabilité et Commerce",25 Mars 12
HRI / an leve kanpe,Monitoring & Evaluation Officer,Sciences Humaines et Sociales,25 Mars 12
World Vision Haiti,Organisational  Development Manager,Sciences Humaines et Sociales,25 Mars 12
FHI,Data Manager,Sciences Informatiques,23 Mars 12
FHI,Officier de Projet Suivi et Evaluation,- - Non-defini - -,23 Mars 12
MARNDR/RESEPAG,Consultant Genre,Agriculture – Agroalimentaire,23 Mars 12
FLM,Administrateur/trice,"Management/Gestion, Finance, Comptabilité et Commerce",23 Mars 12
Secteur ong,Livelihoods M&E Supervisor,"Management/Gestion, Finance, Comptabilité et Commerce",22 Mars 12
Secteur ong,Livelihoods M&E Agent,"Management/Gestion, Finance, Comptabilité et Commerce",22 Mars 12
CRS-Cayes,M&E Manager,Sciences Informatiques,22 Mars 12
PEPA,Responsable Executif de la PEPA,Sciences de l’Ingénieur,22 Mars 12
World Vision Haiti,Coordonnateur de Programme de Developpement de Zone  (PDZ),"Management/Gestion, Finance, Comptabilité et Commerce",21 Mars 12
World Vision Haiti,Security Officer,Sécurité,21 Mars 12
FLM,Consultant(e)  en Cartographie des risques naturels,Sciences Informatiques,21 Mars 12
MSH,Assistant Administratif de l’Unité des Contrats,"Management/Gestion, Finance, Comptabilité et Commerce",20 Mars 12
CRS,Field Engineers,Sciences de l’Ingénieur,20 Mars 12
CRS,Project Engineers,Sciences de l’Ingénieur,20 Mars 12
Secteur prive,Controleur de Credit,"Management/Gestion, Finance, Comptabilité et Commerce",19 Mars 12
Croix Rouge Espagnole,Assistant à l'informatique,Sciences Informatiques,17 Mars 12
Deloitte Consulting,Value Chain Leader: Agriculture,Agriculture – Agroalimentaire,17 Mars 12
Deloitte Consulting,Value Chain Leader: Construction,Métiers du bâtiment et autres,17 Mars 12
Deloitte Consulting,Value Chain Leader: Apparel,Consultant/Expert,17 Mars 12
Deloitte Consulting,Workforce Development Specialist,Sciences Humaines et Sociales,17 Mars 12
Deloitte Consulting,Business Development Specialist,Sciences Humaines et Sociales,17 Mars 12
Deloitte Consulting,Communications Specialist,Communication et Journalisme,17 Mars 12
Deloitte Consulting,Director of Finance and Administration,"Management/Gestion, Finance, Comptabilité et Commerce",17 Mars 12
Deloitte Consulting,Transport/Logistics Specialist,Transport et Logistique,17 Mars 12
Deloitte Consulting,Monitoring & Evaluation (M&E) Specialist,"Management/Gestion, Finance, Comptabilité et Commerce",17 Mars 12
ZL/PIH,"Chief Administrative Officer, Mirebalais National Teaching Hospital","Management/Gestion, Finance, Comptabilité et Commerce",17 Mars 12
ZL/PIH,"Chief of Administration, Mirebalais National Teaching Hospital","Management/Gestion, Finance, Comptabilité et Commerce",17 Mars 12
ZL/PIH,"Director of Medical Education, Mirebalais National Teaching Hospital",Santé et Professions médicales,17 Mars 12
ZL/PIH,Director of Community Health services – Mirebalais National Teaching Hospital,Santé et Professions médicales,17 Mars 12
ZL/PIH,Director of Nursing – Mirebalais National Teaching Hospital,Santé et Professions médicales,17 Mars 12
ZL/PIH,Human Resources Director – Mirebalais National Teaching Hospital,"Management/Gestion, Finance, Comptabilité et Commerce",17 Mars 12
ZL/PIH,Director of Outpatient services – Mirebalais National Teaching Hospital,Santé et Professions médicales,17 Mars 12
ZL/PIH,Manager of Laboratory – Mirebalais National Teaching Hospital,Biologie/Chimie,17 Mars 12
Chemonics International/FEWS NET Haiti,Assistant du Coordonnateur Technique National,Agriculture – Agroalimentaire,16 Mars 12
France Volontaires,Animateur/trice Espace Volontariat,- - Non-defini - -,16 Mars 12
FHI,Spécialiste en Développement d’Organisations à base Communautaire,Sciences Humaines et Sociales,16 Mars 12
C2C,Country Program Manager,"Management/Gestion, Finance, Comptabilité et Commerce",16 Mars 12
Sogebank,Technicien Senior Transmission,Sciences Informatiques,16 Mars 12
Sogebank,Analyste Programmeur Niveau II,Sciences Informatiques,16 Mars 12
VOILA,Chargé de Comptes Corporatifs,"Management/Gestion, Finance, Comptabilité et Commerce",15 Mars 12
CARE Haiti,Officier de contrats,Droit,15 Mars 12
Haiti Language Solutions,Traducteur,Langues et Lettres,15 Mars 12
UCP/INFP,Specialiste en Passation de marchés,"Management/Gestion, Finance, Comptabilité et Commerce",15 Mars 12
SESAM,"Ingénieur Assainissement, chef de projet",Sciences de l’Ingénieur,15 Mars 12
FAO,Animateur/Animatrice de Bassin versant,Sciences Humaines et Sociales,13 Mars 12
FAO,Consultant National en Ressources Naturelles et Agroforesterie,Agriculture – Agroalimentaire,13 Mars 12
Chemonics International/Cookstove,Communications and Awareness Coordinator,Communication et Journalisme,12 Mars 12
WCC,UN(E) ASSISTANT(E) COORDINATEUR VBG (Violences basées sur le genre),"Management/Gestion, Finance, Comptabilité et Commerce",11 Mars 12
Tearfund,Technicien Projet Micro-Mitigation,Agriculture – Agroalimentaire,9 Mars 12
Finn Church Aid,Administrateur Logisticien,"Management/Gestion, Finance, Comptabilité et Commerce",9 Mars 12
ACDI/VOCA,"Responsable des activités de Santé/Nutrition -Communes de Grand Gosier, Thiotte et Anse-à-Pitres",Santé et Professions médicales,7 Mars 12
CRS,Coordonnateur Interrégional de Monitoring and Evaluation/Suivi et Évaluation,Santé et Professions médicales,3 Mars 12
CRS,CHEF DE SUIVI ET EVALUATION / Nord,"Management/Gestion, Finance, Comptabilité et Commerce",3 Mars 12
Trocaire,Haiti Humanitarian/Livelihoods Programme Officer,Sciences Humaines et Sociales,29 Fév 12
Trocaire,Governance and Human Rights Programme Officer,Sciences économiques et politiques,29 Fév 12
CRS,PROJECT MANAGER GENRE,Sciences Humaines et Sociales,29 Fév 12
J/P HRO,Human Resources Manager,Sciences Humaines et Sociales,29 Fév 12
MSH,Administrateur du Réseau,Sciences Informatiques,28 Fév 12
CRS,Trafficking in Persons Project Manager,Droit,28 Fév 12
Concern Worldwide Haiti,Auditeur Interne,"Management/Gestion, Finance, Comptabilité et Commerce",25 Fév 12
Croix Rouge Espagnole,Responsable Project Reboisement,- - Non-defini - -,25 Fév 12
GOAL Haiti,Urban Planner,"Architecture, Urbanisme et Aménagement du territoire",24 Fév 12
FAO,"Agronome, Consultant national CEP 1",Agriculture – Agroalimentaire,24 Fév 12
FAO,"Agronome, Consultant national CEP 2",Agriculture – Agroalimentaire,24 Fév 12
Secteur projet,Grants Manager,- - Non-defini - -,24 Fév 12
Chemonics International/Cookstove,Office Manager,- - Non-defini - -,24 Fév 12
Concern Worldwide Haiti,Gestionnaire de Projet,"Tourisme, Hôtellerie et Restauration",24 Fév 12
CRS,Gestionnaire de Projets – CRRP (Reparation des maisons jaunes et Demolition de maisons rouges),"Management/Gestion, Finance, Comptabilité et Commerce",24 Fév 12
Croix Rouge Americaine,Gestionnaire de  Base de données GIS,Sciences Informatiques,23 Fév 12
Plan International-Haiti,Conseiller Technique en Infrastructure,Sciences de l’Ingénieur,22 Fév 12
Plan International-Haiti,Administrative Coordinator,"Management/Gestion, Finance, Comptabilité et Commerce",22 Fév 12
Plan International-Haiti,Assistante Administrative,Secrétariat,22 Fév 12
Plan International-Haiti,Officier de Projet Livelihood,"Management/Gestion, Finance, Comptabilité et Commerce",20 Fév 12
Chemonics International/Cookstove,Monitoring and Evaluation Specialist,"Management/Gestion, Finance, Comptabilité et Commerce",19 Fév 12
MSH,Shipping Associate,"Management/Gestion, Finance, Comptabilité et Commerce",18 Fév 12
GOAL Haiti,Consultant pour développer des matériaux et d’apprentissage et organiser  des formations,Sciences Humaines et Sociales,17 Fév 12
Tearfund,Superviseur en Construction,Sciences de l’Ingénieur,17 Fév 12
AVSF,Coordinateur (trice) de projet,Agriculture – Agroalimentaire,17 Fév 12
Action Aid,un (e) Officier (ière) de Programme,Sciences Humaines et Sociales,17 Fév 12
CRS,Promoteur d’hygiène,Santé et Professions médicales,17 Fév 12
J/P HRO,Assistant Program Support Director,"Management/Gestion, Finance, Comptabilité et Commerce",17 Fév 12
World Vision Haiti,Communication Officer,Communication et Journalisme,16 Fév 12
Action Aid,Officier de  projet,Sciences Humaines et Sociales,16 Fév 12
GOAL Haiti,Évaluateur de Vendeurs,"Management/Gestion, Finance, Comptabilité et Commerce",16 Fév 12
CINA,Profesional de TI,Sciences de l’Ingénieur,15 Fév 12
World Vision Haiti,Inventory Analyst,"Management/Gestion, Finance, Comptabilité et Commerce",15 Fév 12
GOAL Haiti,Consultant Etude de Marché,Sciences économiques et politiques,15 Fév 12
MSH,Gestionnaire de Flotte,"Management/Gestion, Finance, Comptabilité et Commerce",15 Fév 12
FNUAP,Chargé(e) de Projet,"Management/Gestion, Finance, Comptabilité et Commerce",15 Fév 12
CRS,Comptable de Projet,"Management/Gestion, Finance, Comptabilité et Commerce",15 Fév 12
DIG-Haiti,Secrétaire-Receptionniste,Secrétariat,13 Fév 12
CINA,Controleur de livraison,- - Non-defini - -,12 Fév 12
CINA,Operateur de livraison,- - Non-defini - -,12 Fév 12
CINA,"Ingeniero PILOS (Quimico, Mecanico o Industrial)",Sciences de l’Ingénieur,12 Fév 12
World Vision Haiti,Security Officer,Sécurité,12 Fév 12
IFRC,SITE SURVEYOR-SHELTER,"Architecture, Urbanisme et Aménagement du territoire",12 Fév 12
AIA,Architecte agréé / Spécialiste Sauvegarde du Patrimoine Historique,"Architecture, Urbanisme et Aménagement du territoire",10 Fév 12
AIA,Rédacteur Technique,Communication et Journalisme,10 Fév 12
AIA,Specialist GIS Cartographie,"Architecture, Urbanisme et Aménagement du territoire",10 Fév 12
AIA,Hydrologue,Sciences de l’Ingénieur,10 Fév 12
AIA,Planificateur Urbain/Urbaniste,"Architecture, Urbanisme et Aménagement du territoire",10 Fév 12
IFRC,Mapping Specialist - Shelter,"Architecture, Urbanisme et Aménagement du territoire",10 Fév 12
CRS-Cayes,Officier de Projet/Agriculture CSI,Agriculture – Agroalimentaire,10 Fév 12
HelpAge Internartional Haiti,Assistant (e)  Communication,Communication et Journalisme,10 Fév 12
Diakonie Katastrophenhilfe,Human Resource Manager,"Management/Gestion, Finance, Comptabilité et Commerce",9 Fév 12
Diakonie Katastrophenhilfe,Logistics Coordinator,Transport et Logistique,9 Fév 12
WeltHungerHilfe (Agro Action Allemande),Expert(e) en suivi-évaluation,- - Non-defini - -,9 Fév 12
Plan International-Haiti,Sponsorship Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",8 Fév 12
Plan International-Haiti,Grants Compliance Officer,"Management/Gestion, Finance, Comptabilité et Commerce",8 Fév 12
Secteur ong,Education Coordination Coordinator,Sciences de l’Education,7 Fév 12
Secteur ong,Manager de Projet – Réduction des Risques de Désastres,Agriculture – Agroalimentaire,7 Fév 12
World Vision Haiti,"Design, Monitoring & Evaluation Officer",Sciences Humaines et Sociales,7 Fév 12
World Vision Haiti,Supply Chain Analyst,"Management/Gestion, Finance, Comptabilité et Commerce",6 Fév 12
World Vision Haiti,Customs Coordinator,Douane,6 Fév 12
UMCOR,Shelter  Trainer,"Management/Gestion, Finance, Comptabilité et Commerce",6 Fév 12
Save the Children en Haiti,"Consultant, Education Strategy – National",Sciences de l’Education,3 Fév 12
World Vision Haiti,Business Process Outsourcing Manager,"Management/Gestion, Finance, Comptabilité et Commerce",3 Fév 12
Croix Rouge Americaine,"Program Evaluation, Disaster Risk Reduction program",- - Non-defini - -,3 Fév 12
UMCOR,Driver,Transport et Logistique,3 Fév 12
Mairie de Jacmel,Responsable administratif et financier,"Management/Gestion, Finance, Comptabilité et Commerce",3 Fév 12
UMCOR,Livelihood Assistant,Agriculture – Agroalimentaire,3 Fév 12
Save the Children en Haiti,Hygiene Promotion Specialist,Santé et Professions médicales,1 Fév 12
MSH,Health Services Costing Associate,Santé et Professions médicales,1 Fév 12
CINA,Assistant(e) aux Achats,"Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-12
Plan International-Haiti,Gender Specialist,Sciences Humaines et Sociales,30-Jan-12
Global Health Action,Coordonnateur (trice) en Santé,Santé et Professions médicales,30-Jan-12
SOS Villages d'Enfants Haiti,IDS Coordinator,- - Non-defini - -,30-Jan-12
SOS Villages d'Enfants Haiti,Coordonateur des Ressources Hmaines & du Développement Organisationnel,"Management/Gestion, Finance, Comptabilité et Commerce",30-Jan-12
MARNDR/PMDN,Responsable en passation de marchés,"Management/Gestion, Finance, Comptabilité et Commerce",27-Jan-12
WeltHungerHilfe (Agro Action Allemande),Executive Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",26-Jan-12
CINA,Gestionnaire de Service Après-Vente,Mécanique,26-Jan-12
CINA,Superviseur d’Atelier de Mécanique et de Réparation,Mécanique,26-Jan-12
FAO,Assistant Logisticien de terrain,"Management/Gestion, Finance, Comptabilité et Commerce",26-Jan-12
FAO,Chauffeur,Transport et Logistique,26-Jan-12
ASFC,Coordonnateur (trice) de Projet,Droit,26-Jan-12
Croix Rouge Americaine,Payroll and Fringe Benefit Officer,"Management/Gestion, Finance, Comptabilité et Commerce",25-Jan-12
Diakonie Katastrophenhilfe,Project Officer for DRR,"Management/Gestion, Finance, Comptabilité et Commerce",25-Jan-12
Islamic Relief Haiti,School Reconstruction Project Manager,Métiers du bâtiment et autres,25-Jan-12
FAO,Consultant national en Génie Rural (hydraulique; aménagement de pistes),Agriculture – Agroalimentaire,23-Jan-12
Global Communities - (formerly CHF),Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",23-Jan-12
Diakonie Katastrophenhilfe,Professionnel de Terrain,Sciences Humaines et Sociales,23-Jan-12
